nombre;central;tecnologia_etiqueta;nombre_agente;tecnologia;tecnologia_maquinas;potencia_instalada_mw;provincia;departamento;aglomeracion;sistema;pah;id_renovar;resolucion_renovables;fuente;geojson;Logitud;Latitud
PQUE FOTOV.LA CUMBRE 3;CUM3FV;Fotovoltaica;PQUE FOTOV.LA CUMBRE 3;SOL;FOTOVOLTAICA;;SAN LUIS;Juan Martín de Pueyrredón;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.1225198240022,-33.3521947592897]}";-661.225.198.240.022;-333.521.947.592.897
EPEC GENERACION;CEJEHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;1.1;CORDOBA;Cruz del Eje;;Interconectado MEM;Si;SPT-PAH-02;;DIE;"{""type"":""Point"",""coordinates"":[-64.7538586965485,-30.763632478227]}";-647.538.586.965.485;-30.763.632.478.227
CT BIOMASA MM BIOENERGÍA;CAZU;Biomasa;CT BIOMASA MM BIOENERGÍA;BIOM;BIOMASA;3;CORDOBA;Cruz del Eje;;Interconectado MEM;;BM-417;;DIE;"{""type"":""Point"",""coordinates"":[-64.7538493079512,-30.7636647451741]}";-647.538.493.079.512;-307.636.647.451.741
P.SOLAR ALTO TINOG3 BGOADROGUE;ATI3FV;Fotovoltaica;P.SOLAR ALTO TINOG3 BGOADROGUE;SOL;FOTOVOLTAICA;;CATAMARCA;Tinogasta;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.5307312617366,-28.0868237993744]}";-675.307.312.617.366;-280.868.237.993.744
P.SOLAR ALTO TINOG2 BINGO KING;ATI2FV;Fotovoltaica;P.SOLAR ALTO TINOG2 BINGO KING;SOL;FOTOVOLTAICA;;CATAMARCA;Tinogasta;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.5536480546915,-28.0335774445753]}";-675.536.480.546.915;-280.335.774.445.753
PQUE SOLAR ALTOS DE TINOGASTA;ATI1FV;Fotovoltaica;PQUE SOLAR ALTOS DE TINOGASTA;SOL;FOTOVOLTAICA;;CATAMARCA;Tinogasta;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.5539055467472,-28.0368350912103]}";-675.539.055.467.472;-280.368.350.912.103
CT ACONCAGUA ENERGÍA AUTOGENER;ACON;Térmica;CT ACONCAGUA ENERGÍA AUTOGENER;DI;MOTOR DIESEL;;MENDOZA;Tupungato;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.9829806919147,-33.3406517698345]}";-689.829.806.919.147;-333.406.517.698.345
CTBG GENERAL VILLEGAS Ren 2;VGAB;Biogas;CTBG GENERAL VILLEGAS Ren 2;BIOG;BIOGAS;;BUENOS AIRES;General Villegas;;Interconectado MEM;;BG-513;;DIE;"{""type"":""Point"",""coordinates"":[-63.2271454907174,-35.1735233447966]}";-632.271.454.907.174;-351.735.233.447.966
ENERGIA AGRO S.A.U;SPEV;Biogas;ENERGIA AGRO S.A.U;BIOG;BIOGAS;1.415;SANTA FE;General López;;Interconectado MEM;;;;DIE;"{""type"":""Point"",""coordinates"":[-62.048082297927,-34.236966738946]}";-62.048.082.297.927;-34.236.966.738.946
BIOGAS CTBG ENRECO;GUAT;Biogas;BIOGAS CTBG ENRECO;BIOG;BIOGAS;2;CORDOBA;Marcos Juárez;;Interconectado MEM;;BG-511;;DIE;"{""type"":""Point"",""coordinates"":[-62.5412749074393,-33.3682808879831]}";-625.412.749.074.393;-333.682.808.879.831
EPEC GENERACION;CALEHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;4.4;CORDOBA;Colón;GRAN CÓRDOBA;Interconectado MEM;Si;PAH-3702;;DIE;"{""type"":""Point"",""coordinates"":[-64.3331359680609,-31.3524184061754]}";-643.331.359.680.609;-313.524.184.061.754
CHORRIACA;;Térmica;;DI;;;NEUQUEN;Loncopué;CHORRIACA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-70.100244,-37.936251]}";-70.100.244;-37.936.251
CHACHARRAMENDI;;Térmica;;DI;;;LA PAMPA;Utracán;CHACHARRAMENDI;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-65.648055556,-37.330555556]}";-65.648.055.556;-37.330.555.556
SAN ANTONIO DE LOS COBRES;;Térmica;;DI;;;SALTA;Los Andes;SAN ANTONIO DE LOS COBRES;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.318888,-24.2144441]}";-66.318.888;-242.144.441
CENTRAL TÉRMICA PIEDRA NEGRA;;Térmica;;DI;;;JUJUY;Yavi;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-65.630138,-22.2006081]}";-65.630.138;-222.006.081
LA HUMADA;;Térmica;;DI;;;LA PAMPA;Chical Co;LA HUMADA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.0151,-36.349444444]}";-680.151;-36.349.444.444
ARBOL SOLO;;Térmica;;DI;;;LA PAMPA;Chalileo;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.477222222,-36.6363888891]}";-66.477.222.222;-366.363.888.891
COMANDANCIA FRÍAS;;Térmica;;DI;;;CHACO;General Güemes;COMANDANCIA FRÍAS;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-62.23751,-24.563611111]}";-6.223.751;-24.563.611.111
COLONIA LA PASTORIL;;Térmica;;DI;;;LA PAMPA;Chalileo;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.227222222,-36.373333333]}";-66.227.222.222;-36.373.333.333
BERNARDO DE IRIGOYEN;;Térmica;;DI;;;MISIONES;General Manuel Belgrano;BERNARDO DE IRIGOYEN;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-53.646951,-26.254491]}";-53.646.951;-26.254.491
VILLA TRAFUL;;Térmica;;DI;;;NEUQUEN;Los Lagos;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-71.397585,-40.6549891]}";-71.397.585;-406.549.891
LAS COLORADAS;;Térmica;;DI;;;NEUQUEN;Catán Lil;LAS COLORADAS;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-70.596456,-39.5573981]}";-70.596.456;-395.573.981
IRUYA;;Térmica;;DI;;;SALTA;Iruya;IRUYA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-65.21856,-22.79281]}";-6.521.856;-2.279.281
SANTA ISABEL;;Térmica;;DI;;;LA PAMPA;Chalileo;COLONIA LA PASTORIL-SANTA ISABEL;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.938055556,-36.2313888891]}";-66.938.055.556;-362.313.888.891
EL CAIN;;Térmica;;DI;;;RIO NEGRO;25 de Mayo;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.351181,-41.8324861]}";-68.351.181;-418.324.861
CERRO POLICÍA;;Térmica;;DI;;;RIO NEGRO;El Cuy;CERRO POLICIA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.490153,-39.726433]}";-68.490.153;-39.726.433
EL CUY;;Térmica;;DI;;;RIO NEGRO;El Cuy;EL CUY;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-68.343136,-39.925151]}";-68.343.136;-39.925.151
CHAPALCO;;Térmica;;DI;;;LA PAMPA;Toay;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-64.781469,-36.8719581]}";-64.781.469;-368.719.581
ANTOFAGASTA DE LA SIERRA;;Térmica;;DI;;;CATAMARCA;Antofagasta de la Sierra;ANTOFAGASTA DE LA SIERRA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.407936,-26.0594831]}";-67.407.936;-260.594.831
SANTA ROSA DE LOS PASTOS GRANDES;;Térmica;;DI;;;SALTA;Los Andes;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-66.699815,-24.4500771]}";-66.699.815;-244.500.771
LA TABLADA;;Térmica;;DI;;;MISIONES;Capital;POSADAS;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-55.90967,-27.418391]}";-5.590.967;-27.418.391
VILLA LA ANGOSTURA;;Térmica;;DI;;;NEUQUEN;Los Lagos;VILLA LA ANGOSTURA;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-71.638059,-40.7570941]}";-71.638.059;-407.570.941
JAGUEL DEL MONTE;;Térmica;;DI;;;LA PAMPA;Loventué;;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-65.783611111,-36.6811111111]}";-65.783.611.111;-366.811.111.111
EL PEÑON;;Térmica;;DI;;;CATAMARCA;Antofagasta de la Sierra;EL PEÑON;Aislado;;;;DIE;"{""type"":""Point"",""coordinates"":[-67.263281,-26.478347]}";-67.263.281;-26.478.347
BIOGAS CTBG BIO DE SOUZA;SOUZ;Biogas;BIOGAS CTBG BIO DE SOUZA;BIOG;BIOGAS;;BUENOS AIRES;Coronel Suárez;;Interconectado MEM;;BG-3501;;CAMMESA;"{""type"":""Point"",""coordinates"":[-61.8718923953964,-37.6587768851569]}";-618.718.923.953.964;-376.587.768.851.569
