nombre;central;tecnologia_etiqueta;nombre_agente;tecnologia;tecnologia_maquinas;potencia_instalada_mw;provincia;departamento;aglomeracion;sistema;pah;id_renovar;resolucion_renovables;fuente;geojson;Logitud;Latitud
DIADEMA EOLICO;DIADEO;Eólica;HYCHICO P. EOLICO DIADEMA;EOL;EOLICA;6.3;CHUBUT;Escalante;;Interconectado MEM;;108-EOL-02;;cammesa;"{""type"":""Point"",""coordinates"":[-67.6941042273814,-45.7465547202234]}";-676.941.042.273.814;-457.465.547.202.234
C.T. PATAGONIA;PATA;Térmica;ENERGIA DEL SUR S.A.;CC;TURBO GAS - TURBO VAPOR;125.1;CHUBUT;Escalante;GRAN COMODORO RIVADAVIA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.5135569671174,-45.7926311530152]}";-675.135.569.671.174;-457.926.311.530.152
CDRO RIVADAVIA;CRIV;Térmica;C.T. PATAGONICAS SA;TG;TURBO GAS;73;CHUBUT;Escalante;GRAN COMODORO RIVADAVIA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.4444855249532,-45.8151453605683]}";-674.444.855.249.532;-458.151.453.605.683
RAWSONI  ENARSA;RAW1EO;Eólica;P.EOLICO RAWSON I;EOL;EOLICA;52.5;CHUBUT;Rawson;;Interconectado MEM;;GEN-EOL-02;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1855122036278,-43.3450965257327]}";-651.855.122.036.278;-433.450.965.257.327
L.BLANC 4 ENARS;LOM4EO;Eólica;C.EOLICA LOMA BLANCA IV-ENARSA;EOL;EOLICA;50;CHUBUT;Rawson;;Interconectado MEM;;GEN-EOL-01;;cammesa;"{""type"":""Point"",""coordinates"":[-65.247230142897,-43.1174059735019]}";-65.247.230.142.897;-431.174.059.735.019
F. AMEGHINO;AMEGHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA AMEGHINO SA;HI<50;HIDRAULICA <=50;46.8;CHUBUT;Gaiman;;Interconectado MEM;Si;SPT-PAH-27;;cammesa;"{""type"":""Point"",""coordinates"":[-66.4817610770261,-43.6991913827729]}";-664.817.610.770.261;-436.991.913.827.729
MESETA ESPINOSA;MESE;Térmica;COMP.GEN.COMB. S.A.U.-MESETA;DI;MOTOR DIESEL;;SANTA CRUZ;Deseado;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.7010641265147,-46.5853362991741]}";-677.010.641.265.147;-465.853.362.991.741
RAWSONII ENARSA;RAW2EO;Eólica;P.EOLICO RAWSON II;EOL;EOLICA;31.15;CHUBUT;Rawson;;Interconectado MEM;;GEN-EOL-03;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1625708716364,-43.3498785774844]}";-651.625.708.716.364;-433.498.785.774.844
S. GRANDE ARG;SGDEHIAR;Hidroeléctrica;CTM SALTO GRANDE;HI>50;TURB HIDRAULICA;945;ENTRE RIOS;Concordia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.941265450856,-31.2737820625504]}";-57.941.265.450.856;-312.737.820.625.504
LA PAZ E.RIOS;LPAZ;Térmica;CT LA PAZ Entre Rios - ENARSA;DI;MOTOR DIESEL;10.8;ENTRE RIOS;La Paz;LA PAZ;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.6016891424557,-30.750375060534]}";-596.016.891.424.557;-30.750.375.060.534
VIALE E. RÍOS;VIAL;Térmica;CT VIALE - AGGREKO;DI;MOTOR DIESEL;10;ENTRE RIOS;Paraná;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.0164097538192,-31.8980293801244]}";-600.164.097.538.192;-318.980.293.801.244
BRIGAD. LOPEZ;BLOP;Térmica;CT BRIGADIER LOPEZ;TG;TURBO GAS;280;SANTA FE;La Capital;SANTO TOME;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.7802814594637,-31.7102018877697]}";-607.802.814.594.637;-317.102.018.877.697
S.SALVADOR ERIO;SSAL;Térmica;CT SAN SALVADOR E.Rios -ENARSA;DI;MOTOR DIESEL;10.8;ENTRE RIOS;San Salvador;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.488120136305,-31.6105845574671]}";-58.488.120.136.305;-316.105.845.574.671
CERES    ENARSA;CERE;Térmica;CT CERES - SECCO;DI;MOTOR DIESEL;18;SANTA FE;San Cristóbal;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.9296750470144,-29.8883497044004]}";-619.296.750.470.144;-298.883.497.044.004
RAFAELA;RAFA;Térmica;CT RAFAELA - SECCO;DI;MOTOR DIESEL;19.2;SANTA FE;Castellanos;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.5204279231104,-31.2555295369651]}";-615.204.279.231.104;-312.555.295.369.651
CT TIMBUES(GSMA;TIMB;Térmica;TERMOELE. JOSE SAN MARTIN S.A;CC;TURBO GAS - TURBO VAPOR;865.14;SANTA FE;San Lorenzo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.7908046004942,-32.5776885223723]}";-607.908.046.004.942;-325.776.885.223.723
CT VUELTA OBLIG;VOBL;Térmica;CT VUELTA DE OBLIGADO;CC;TURBO GAS - TURBO VAPOR;846.565;SANTA FE;San Lorenzo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.7902965954438,-32.5801787489662]}";-607.902.965.954.438;-325.801.787.489.662
V. TUERTO DELIV;VTUD;Térmica;CT VENADO TUERTO - SECCO;DI;MOTOR DIESEL;19.2;SANTA FE;General López;VENADO TUERTO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.9545870533297,-33.7773172908668]}";-619.545.870.533.297;-337.773.172.908.668
RUFINO STA FE;RUFI;Térmica;CT RUFINO Sta Fe - ENARSA;DI;MOTOR DIESEL;31.9;SANTA FE;General López;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.6887472874911,-34.2618968158737]}";-626.887.472.874.911;-342.618.968.158.737
SULFACID;;Térmica;;TV;;;SANTA FE;San Lorenzo;GRAN ROSARIO;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.721274282337,-32.7856488373404]}";-60.721.274.282.337;-327.856.488.373.404
MOLINOS AUTOG.;MOLI;Térmica;MOLINOS AGRO AG.(Ex.Mol Rio P);TV;TURBO VAPOR;;SANTA FE;San Lorenzo;GRAN ROSARIO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.7239143044211,-32.7744477297727]}";-607.239.143.044.211;-327.744.477.297.727
SORRENTO;SORR;Térmica;C.TERMICA SORRENTO;TV;TURBO VAPOR;217;SANTA FE;Rosario;GRAN ROSARIO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.6802673219221,-32.9051269787482]}";-606.802.673.219.221;-329.051.269.787.482
SAN ROQUE;SROQHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;24;CORDOBA;Colón;;Interconectado MEM;Si;SPT-PAH-07;;cammesa;"{""type"":""Point"",""coordinates"":[-64.3937772337478,-31.3533499343549]}";-643.937.772.337.478;-313.533.499.343.549
SUD OESTE;SOES;Térmica;EPEC GENERACION;TG;TURBO GAS;100;CORDOBA;Capital;GRAN CÓRDOBA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.2393238226637,-31.4628972459438]}";-642.393.238.226.637;-314.628.972.459.438
LA VINIA;LVINHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;16;CORDOBA;San Javier;;Interconectado MEM;Si;SPT-PAH-05;;cammesa;"{""type"":""Point"",""coordinates"":[-65.036065349264,-31.8714829591897]}";-65.036.065.349.264;-318.714.829.591.897
BENJAMIN REOLIN;REOLHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;33;CORDOBA;Calamuchita;;Interconectado MEM;Si;SPT-PAH-28;;cammesa;"{""type"":""Point"",""coordinates"":[-64.3230624514813,-32.1909499572787]}";-643.230.624.514.813;-321.909.499.572.787
PIEDRAS MORAS;PMORHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;6.3;CORDOBA;Tercero Arriba;;Interconectado MEM;Si;SPT-PAH-06;;cammesa;"{""type"":""Point"",""coordinates"":[-64.2437503777596,-32.1675610821007]}";-642.437.503.777.596;-321.675.610.821.007
CASSAFOUSTH;CASSHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;16.2;CORDOBA;Calamuchita;;Interconectado MEM;Si;SPT-PAH-01;;cammesa;"{""type"":""Point"",""coordinates"":[-64.3744133127436,-32.1752531182331]}";-643.744.133.127.436;-321.752.531.182.331
FITZ SIMON;FSIMHI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;10.5;CORDOBA;Calamuchita;;Interconectado MEM;Si;SPT-PAH-03;;cammesa;"{""type"":""Point"",""coordinates"":[-64.4207647595158,-32.1784902540692]}";-644.207.647.595.158;-321.784.902.540.692
MARANZANA;MMAR;Térmica;GENERACION MEDITERRANEA 220 - GENERACION MEDITERRANEA R287 - GEN.MEDITERRANEA (CONT.PLUS);TG;TURBO GAS;342.961;CORDOBA;Río Cuarto;RIO CUARTO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.3647059007501,-33.1607282255964]}";-643.647.059.007.501;-331.607.282.255.964
EMBALSE;EMBA;Nuclear;NUCLEOELECTRICA ARG. SA;NUC;NUCLEAR;648;CORDOBA;Calamuchita;SIN NOMBRE;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.4433976502177,-32.2317020244652]}";-644.433.976.502.177;-322.317.020.244.652
RIO GRANDE;RGDEHB;Hidroeléctrica;EPEC GENERACION;HI>50;TURB + BOMBA HI;750;CORDOBA;Calamuchita;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.6387789150359,-32.2233997646517]}";-646.387.789.150.359;-322.233.997.646.517
DEAN FUNES;DFUN;Térmica;EPEC GENERACION;TG;TURBO GAS;32;CORDOBA;Capital;GRAN CÓRDOBA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.205736719508,-31.3928401446907]}";-64.205.736.719.508;-313.928.401.446.907
PILAR;PILA;Térmica;CT PILAR - EPEC;CC;TURBO GAS - TURBO VAPOR;466;CORDOBA;Río Segundo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-63.8340313614115,-31.667756704897]}";-638.340.313.614.115;-31.667.756.704.897
SAN FRANCISCO;SFRA;Térmica;EPEC GENERACION;TG;TURBO GAS;39;CORDOBA;San Justo;SAN FRANCISCO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.1111908649688,-31.4383487210557]}";-621.111.908.649.688;-314.383.487.210.557
MARIO SEVESO;MSEV;Térmica;ARCOR MARIO SEVESO ARROYITO;TG;TURBO GAS;;CORDOBA;San Justo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-63.0389768693129,-31.4202749765325]}";-630.389.768.693.129;-314.202.749.765.325
LOS MOLINOS;LMO1HI;Hidroeléctrica;EPEC GENERACION;HI>50;TURB HIDRAULICA;52;CORDOBA;Santa María;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.4462890122242,-31.8381085352515]}";-644.462.890.122.242;-318.381.085.352.515
LOS MOLINOS 2;LMO2HI;Hidroeléctrica (Menor a 50 Mw);EPEC GENERACION;HI<50;HIDRAULICA <=50;4.5;CORDOBA;Santa María;;Interconectado MEM;Si;SPT-PAH-04;;cammesa;"{""type"":""Point"",""coordinates"":[-64.4149441951098,-31.8432649842811]}";-644.149.441.951.098;-318.432.649.842.811
VILLA MARIA;VMAR;Térmica;EPEC GENERACION;TG;TURBO GAS;48;CORDOBA;General San Martín;VILLA MARIA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-63.1926445753472,-32.4313929927935]}";-631.926.445.753.472;-324.313.929.927.935
BELL VILLE;BVIL;Térmica;CT BELL VILLE - SULLAIR;DI;MOTOR DIESEL;15.6;CORDOBA;Unión;BELL VILLE;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.6858848494043,-32.6101419017251]}";-626.858.848.494.043;-326.101.419.017.251
LEVALLE;LEVA;Térmica;EPEC GENERACION;TG;TURBO GAS;46;CORDOBA;Presidente Roque Sáenz Peña;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-63.9219036602751,-34.0360304738103]}";-639.219.036.602.751;-340.360.304.738.103
ISLA VERDE;ISVE;Térmica;CT ISLA VERDE - AGGREKO;DI;MOTOR DIESEL;24.5;CORDOBA;Marcos Juárez;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.393857765862,-33.2420592931949]}";-62.393.857.765.862;-332.420.592.931.949
13 DE JULIO;RTER;Térmica;GENERADORA CORDOBA S.A.;TG;TURBO GAS;26;CORDOBA;Tercero Arriba;RIO TERCERO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.1542920006173,-32.1610979594879]}";-641.542.920.006.173;-321.610.979.594.879
CO. ARGENER;ARGE;Térmica;SIDERCA SA(EX ARGENER-GEN.PAR);TG;TURBO GAS;163.3;BUENOS AIRES;Ramallo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.1435721727678,-33.3653585133069]}";-601.435.721.727.678;-333.653.585.133.069
ARRECIFES ENARS;ARRE;Térmica;CT ARRECIFES-AGGREKO;DI;MOTOR DIESEL;20;BUENOS AIRES;Arrecifes;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.1300775231554,-34.0418738984259]}";-601.300.775.231.554;-340.418.738.984.259
ATUCHA II;ATU2;Nuclear;NUCLEOELECTRICA ARG. SA;NUC;NUCLEAR;745;BUENOS AIRES;Zárate;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.2044761891989,-33.96725778019]}";-592.044.761.891.989;-3.396.725.778.019
ATUCHA;ATUC;Nuclear;NUCLEOELECTRICA ARG. SA;NUC;NUCLEAR;362;BUENOS AIRES;Zárate;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.207073891908,-33.9670490936526]}";-59.207.073.891.908;-339.670.490.936.526
COLON BSAS;COLB;Térmica;CT COLON BS.AS - SULLAIR;DI;MOTOR DIESEL;15.3;BUENOS AIRES;Colón;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.0767483943736,-33.922067497133]}";-610.767.483.943.736;-33.922.067.497.133
LINCOLN;LINC;Térmica;CT LINCOLN;DI;MOTOR DIESEL;15;BUENOS AIRES;Lincoln;LINCOLN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.5204088342806,-34.8569096838831]}";-615.204.088.342.806;-348.569.096.838.831
VILLEGAS ENARSA;VGAD;Térmica;CT GRAL. VILLEGAS - AGGREKO;DI;MOTOR DIESEL;23.5;BUENOS AIRES;General Villegas;GENERAL VILLEGAS;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.998141977449,-35.0349258127803]}";-62.998.141.977.449;-350.349.258.127.803
NECOCHEA;NECO;Térmica;C.COSTA ATLANTICA;TV;TURBO VAPOR;204;BUENOS AIRES;Necochea;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.7104501332913,-38.5784929011144]}";-587.104.501.332.913;-385.784.929.011.144
MAR DEL PLATA;MDPA;Térmica;C.COSTA ATLANTICA;TG,TV;TURBO GAS - TURBO VAPOR;176.88;BUENOS AIRES;General Pueyrredón;MAR DEL PLATA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.546469758973,-38.0502000430216]}";-57.546.469.758.973;-380.502.000.430.216
MIRAMAR I ENARS;MIR1;Térmica;CT MIRAMAR I - ENERGYST;DI;MOTOR DIESEL;20;BUENOS AIRES;General Alvarado;MIRAMAR;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.8246372252512,-38.2472253160957]}";-578.246.372.252.512;-382.472.253.160.957
BAHIA BLANCA;BBLA;Térmica;CENTRAL PIEDRABUENA S.A.;TV;TURBO VAPOR;620;BUENOS AIRES;Bahía Blanca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.2540987908499,-38.7875810051844]}";-622.540.987.908.499;-387.875.810.051.844
ECOENERG CERRI;CERI;Térmica;PAMPA ENERGIA SA;TV;TURBO VAPOR;13.2;BUENOS AIRES;Bahía Blanca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.3961704191899,-38.6859802562514]}";-623.961.704.191.899;-386.859.802.562.514
SOLALBAN;SOLA;Térmica;SOLALBAN ENERGIA SA;TG;TURBO GAS;;BUENOS AIRES;Bahía Blanca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.2908262089512,-38.7779670860763]}";-622.908.262.089.512;-387.779.670.860.763
GUILLERMO BROWN;BROW;Térmica;TERMOELECTRICA GUILLERMO BROWN;TG;TURBO GAS;582.6;BUENOS AIRES;Bahía Blanca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.4142429160072,-38.685471624088]}";-624.142.429.160.072;-38.685.471.624.088
AES-PARANA;AESP;Térmica;C.T. AES PARANA;CC,TG;TURBO GAS - TURBO VAPOR;869.51;BUENOS AIRES;San Nicolás;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.1718463072851,-33.3548832039617]}";-601.718.463.072.851;-333.548.832.039.617
SAN NICOLAS;SNIC;Térmica;C.TERMICA SAN NICOLAS;TG,TV;TURBO GAS - TURBO VAPOR;675;BUENOS AIRES;San Nicolás;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.173027262967,-33.3562092977202]}";-60.173.027.262.967;-333.562.092.977.202
ACEROS PARANA;APAR;Térmica;SIDERAR PTA. IND. SAN NICOLAS;TV;TURBO VAPOR;;BUENOS AIRES;Ramallo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.1456809207253,-33.3641487600985]}";-601.456.809.207.253;-333.641.487.600.985
JUNIN;JUNI;Térmica;CT JUNIN;DI;MOTOR DIESEL;22;BUENOS AIRES;Junín;JUNIN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.9161319082439,-34.571088648852]}";-609.161.319.082.439;-34.571.088.648.852
CAPITAN SARMIEN;CSAR;Térmica;CT CAPITAN SARMIENTO - SECCO;DI;MOTOR DIESEL;5;BUENOS AIRES;Capitán Sarmiento;;Interconectado MEM;;BM-418;;cammesa;"{""type"":""Point"",""coordinates"":[-59.7681921636706,-34.1638387202115]}";-597.681.921.636.706;-341.638.387.202.115
SIDERCA;;Térmica;;TV;;;BUENOS AIRES;Campana;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.9759568916095,-34.1515631275907]}";-589.759.568.916.095;-341.515.631.275.907
LOBOS ENARSA;LOBO;Térmica;CT LOBOS BS.AS - SULLAIR;DI;MOTOR DIESEL;19.68;BUENOS AIRES;Lobos;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.078613113271,-35.1911121897838]}";-59.078.613.113.271;-351.911.121.897.838
GRAL BELGRANO;GBEL;Térmica;TERMOELECTRICA M.BELGRANO S.A.;CC;TURBO GAS - TURBO VAPOR;873;BUENOS AIRES;Campana;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.0061808744608,-34.1846515192087]}";-590.061.808.744.608;-341.846.515.192.087
MAR DE AJO;MDAJ;Térmica;C.COSTA ATLANTICA;TG;TURBO GAS;30;BUENOS AIRES;La Costa;MAR DE AJO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-56.6939401770873,-36.720770284309]}";-566.939.401.770.873;-36.720.770.284.309
VILLA GESELL;VGES;Térmica;C.COSTA ATLANTICA - CT VILLA GESELL-CATLANT.;TG;TURBO GAS;125;BUENOS AIRES;General Juan Madariaga;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-56.9976081997781,-37.2489621044488]}";-569.976.081.997.781;-372.489.621.044.488
ALTE BROWN ENAR;ABRO;Térmica;C.T. ALMIRANTE BROWN;DI;MOTOR DIESEL;25;BUENOS AIRES;Almirante Brown;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.405191227531,-34.8375578669191]}";-58.405.191.227.531;-348.375.578.669.191
MAGDALENA ENARS;MAGD;Térmica;CT MAGDALENA - APR ENERGY;DI;MOTOR DIESEL;25;BUENOS AIRES;Magdalena;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.4843302668866,-35.1001374238144]}";-574.843.302.668.866;-351.001.374.238.144
ENSE. BARRAGAN;EBAR;Térmica;CT BARRAGAN - ENARSA;CC;TURBO GAS - TURBO VAPOR;567;BUENOS AIRES;Ensenada;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.9522799349241,-34.85880925783]}";-579.522.799.349.241;-3.485.880.925.783
CO. ENSENADA;ENSE;Térmica;REFINERIA LA PLATA AUTOG;TG;TURBO GAS;128;BUENOS AIRES;Ensenada;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.9233583609674,-34.8917813555053]}";-579.233.583.609.674;-348.917.813.555.053
LA PLATA;LPLA;Térmica;CT LA PLATA - SULLAIR;DI;MOTOR DIESEL;40.4;BUENOS AIRES;La Plata;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.0181690068736,-34.9349660240086]}";-580.181.690.068.736;-349.349.660.240.086
DIQUE;DIQU;Térmica;CENTRAL DIQUE S.A.;TG;TURBO GAS;55;BUENOS AIRES;Ensenada;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-57.9323168364084,-34.8905227512615]}";-579.323.168.364.084;-348.905.227.512.615
DOCK SUD;DSUD;Térmica;CENTRAL DOCK SUD;CC,TG;TURBO GAS - TURBO VAPOR;869.5;BUENOS AIRES;Avellaneda;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3417443880563,-34.6531846159815]}";-583.417.443.880.563;-346.531.846.159.815
S.VICENTE BSAS;SVIC;Térmica;CT SAN VICENTE BsAs - ENARSA;DI;MOTOR DIESEL;27.6;BUENOS AIRES;San Vicente;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3254456944915,-35.0434245614703]}";-583.254.456.944.915;-350.434.245.614.703
AUTOPROD.SHELL;SHEL;Térmica;SHELL CAPSA PTA. DOCK SUD;TG;TURBO GAS;;BUENOS AIRES;Avellaneda;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3317609205434,-34.6506101244187]}";-583.317.609.205.434;-346.506.101.244.187
COSTANERA;COST;Térmica;ENDESA COSTANERA SA;CC,TV;TURBO GAS - TURBO VAPOR;1982;CIUDAD AUTONOMA DE BUENOS;Comuna 4;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3397061679036,-34.6248538491565]}";-583.397.061.679.036;-346.248.538.491.565
C.T. GENELBA;GEBA;Térmica;GENELBA - PETROBRAS - GENELBA - RES.287 - PAMPA ENERGIA SA;CC;TURBO GAS - TURBO VAPOR;1247.64;BUENOS AIRES;Marcos Paz;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.7334725913258,-34.9022111178442]}";-587.334.725.913.258;-349.022.111.178.442
NUEVO PUERTO;NPUE;Térmica;CENTRAL PUERTO SA;CC,TV;TURBO GAS - TURBO VAPOR;1188;CIUDAD AUTONOMA DE BUENOS;Comuna 2;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3821145131393,-34.5717066175047]}";-583.821.145.131.393;-345.717.066.175.047
PUERTO NUEVO;PNUE;Térmica;CENTRAL PUERTO SA;TV;TURBO VAPOR;589;CIUDAD AUTONOMA DE BUENOS;Comuna 2;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3760473166196,-34.575702236509]}";-583.760.473.166.196;-34.575.702.236.509
S.MIGUEL N ENAR;SMIG;Biogas;CT SAN MIGUEL NORTE III-ENARSA;BIOG;BIOGAS;11.5;BUENOS AIRES;San Miguel;GRAN BUENOS AIRES;Interconectado MEM;;GEN-BRS-02;;cammesa;"{""type"":""Point"",""coordinates"":[-58.6181625109355,-34.5260674382151]}";-586.181.625.109.355;-345.260.674.382.151
BUENOS AIRES;BSAS;Térmica;ENDESA COSTANERA SA;CC;TURBO GAS - TURBO VAPOR;321.6;CIUDAD AUTONOMA DE BUENOS;Comuna 4;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3373020900825,-34.6263680257532]}";-583.373.020.900.825;-346.263.680.257.532
MOTORES COSTANE;COSM;Térmica;MOTOGENERADORES COSTANERA;DI;MOTOR DIESEL;35.6;CIUDAD AUTONOMA DE BUENOS;Comuna 4;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.3388883510156,-34.6275832909437]}";-583.388.883.510.156;-346.275.832.909.437
EL JUME;JUMEEO;Eólica;C.EOLICA EL JUME Sgo del Ester;EOL;EOLICA;8;SANTIAGO DEL ESTERO;Ojo de Agua;;Interconectado MEM;;108-EOL-06;;cammesa;"{""type"":""Point"",""coordinates"":[-63.7096578608852,-29.419390882194]}";-637.096.578.608.852;-29.419.390.882.194
SALTOII SOENERG;SAL2;Térmica;CT SALTO 2 - SoENERGY;TG;TURBO GAS;63;BUENOS AIRES;Salto;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.2236817663346,-34.3045880881631]}";-602.236.817.663.346;-343.045.880.881.631
MATHEU APR ENER;MATE;Térmica;CT MATHEU II - APR ENERGY;TG;TURBO GAS;229;BUENOS AIRES;Pilar;GRAN BUENOS AIRES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.8341351559185,-34.3937254120389]}";-588.341.351.559.185;-343.937.254.120.389
CAIMANCITO;CAIM;Térmica;CT CAIMANCITO -SULLAIR;DI;MOTOR DIESEL;91;JUJUY;Ledesma;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.6151300577762,-23.7331330114739]}";-646.151.300.577.762;-237.331.330.114.739
BRAGADO II;BRA2;Térmica;CT BRAGADO 2 - GENNEIA;TG;TURBO GAS;58.5;BUENOS AIRES;Bragado;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.4342170255458,-35.1351983374074]}";-604.342.170.255.458;-351.351.983.374.074
BRAGADO III;BRA3;Térmica;CT BRAGADO 3 - GENNEIA;TG;TURBO GAS;61.2;BUENOS AIRES;Bragado;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.4351485112119,-35.1337873272298]}";-604.351.485.112.119;-351.337.873.272.298
